date,close,open,high,low,vol,var
05.06.2016,2290,"2292,8",2295,2255,"0,05K","-0,12%"
04.06.2016,"2292,8",2220,"2329,2",2205,"0,13K","3,28%"
03.06.2016,2220,2100,2400,"2072,2","0,36K","5,71%"
02.06.2016,2100,"2088,9","2142,9","2025,2","0,18K","0,53%"
01.06.2016,"2088,9","2043,2",2090,1992,"0,28K","3,16%"
31.05.2016,2025,2050,2090,1800,"0,34K","-1,22%"
30.05.2016,2050,"1875,1",2090,"1875,1","0,28K","9,33%"
29.05.2016,"1875,1",1870,1917,1855,"0,10K","0,27%"
28.05.2016,1870,"1813,9",1897,1780,"0,16K","3,09%"
27.05.2016,"1813,9",1772,"1813,9","1755,4","0,22K","2,36%"
26.05.2016,1772,1770,1775,1752,"0,08K","0,12%"
25.05.2016,"1769,9",1760,1780,1742,"0,21K","0,56%"
24.05.2016,1760,"1747,3",1790,"1731,1","0,21K","0,73%"
23.05.2016,"1747,3",1755,1790,"1720,1","0,27K","-0,44%"
22.05.2016,1755,1756,"1764,5",1738,"0,04K","-0,05%"
21.05.2016,1756,1770,1775,1747,"0,05K","-0,79%"
20.05.2016,1770,1770,1771,1743,"0,14K","0,00%"
19.05.2016,1770,1783,1799,1757,"0,20K","-0,73%"
18.05.2016,1783,1779,1790,"1756,7","0,17K","0,22%"
17.05.2016,1779,1763,"1797,9",1755,"0,19K","0,20%"
16.05.2016,"1775,4","1761,2",1808,1754,"0,20K","0,81%"
15.05.2016,"1761,2",1776,1776,1760,"0,02K","-0,83%"
14.05.2016,1776,1761,1780,1755,"0,06K","0,85%"
13.05.2016,1761,1764,1780,"1736,1","0,15K","-0,17%"
12.05.2016,1764,1750,1764,1720,"0,15K","1,05%"
11.05.2016,"1745,7",1725,"1751,3","1723,3","0,17K","1,20%"
10.05.2016,1725,"1779,9",1780,1720,"0,24K","-3,09%"
09.05.2016,"1779,9",1736,1780,1715,"0,24K","2,53%"
08.05.2016,1736,1741,1760,1736,"0,03K","-0,29%"
07.05.2016,1741,"1750,2",1764,1740,"0,02K","-0,53%"
06.05.2016,"1750,2",1744,1764,1721,"0,11K","0,30%"
05.05.2016,"1744,9","1732,4",1767,1720,"0,14K","0,72%"
04.05.2016,"1732,4","1748,6",1753,1725,"0,12K","-0,92%"
03.05.2016,"1748,6","1701,3",1769,"1701,3","0,22K","2,78%"
02.05.2016,"1701,3","1729,5",1740,"1701,3","0,18K","-1,63%"
01.05.2016,"1729,5",1715,"1742,3",1713,"0,02K","0,85%"
30.04.2016,1715,"1757,7","1757,9","1714,5","0,04K","-2,43%"
29.04.2016,"1757,7",1755,1775,"1706,1","0,13K","0,15%"
28.04.2016,1755,1772,"1786,5",1715,"0,15K","-0,96%"
27.04.2016,1772,1815,1833,1750,"0,18K","-2,37%"
26.04.2016,1815,1786,1844,1766,"0,13K","1,63%"
25.04.2016,1786,1760,1787,"1726,7","0,21K","1,47%"
24.04.2016,1760,1718,1760,1718,"0,04K","2,44%"
23.04.2016,1718,"1746,5",1750,"1708,1","0,06K","-1,63%"
22.04.2016,"1746,5","1744,8",1752,"1705,3","0,15K","0,10%"
21.04.2016,"1744,8",1734,1745,1718,"0,09K","0,62%"
20.04.2016,1734,1699,1750,"1677,6","0,26K","2,06%"
19.04.2016,1699,"1675,8",1700,1655,"0,10K","1,39%"
18.04.2016,"1675,8","1685,8",1700,"1626,1","0,14K","-0,60%"
17.04.2016,"1685,8",1697,"1706,8","1673,9","0,02K","-0,66%"
16.04.2016,1697,1700,1720,"1685,5","0,04K","-0,18%"
15.04.2016,1700,1660,1720,"1642,2","0,13K","2,41%"
14.04.2016,1660,1650,1660,"1630,1","0,11K","0,61%"
13.04.2016,1650,1639,1650,"1623,4","0,19K","0,67%"
12.04.2016,1639,"1622,9",1640,"1616,1","0,11K","0,99%"
11.04.2016,"1622,9",1668,1673,1615,"0,14K","-2,70%"
10.04.2016,1668,1655,1668,"1650,1","0,02K","0,79%"
09.04.2016,1655,1675,1675,"1636,1","0,04K","-1,19%"
08.04.2016,1675,1699,1699,1642,"0,21K","-1,41%"
07.04.2016,1699,"1709,5",1710,"1672,2","0,10K","-0,61%"
06.04.2016,"1709,5",1701,1713,1684,"0,10K","0,50%"
05.04.2016,1701,"1719,4",1725,"1660,5","0,19K","-1,07%"
04.04.2016,"1719,4",1714,1729,1640,"0,25K","0,31%"
03.04.2016,1714,1690,"1719,2",1690,"0,03K","1,42%"
02.04.2016,1690,1718,1719,1685,"0,03K","-1,63%"
01.04.2016,1718,1724,1740,1700,"0,20K","-0,35%"
31.03.2016,1724,"1710,8",1735,1701,"0,17K","-0,75%"
30.03.2016,1737,"1747,2","1748,8","1710,8","0,11K","-0,58%"
29.03.2016,"1747,2",1770,1805,1720,"0,20K","-1,29%"
28.03.2016,1770,1759,1801,1746,"0,24K","0,63%"
27.03.2016,1759,1735,1800,1714,"0,15K","1,38%"
26.03.2016,1735,1758,"1762,7","1713,1","0,06K","-1,31%"
25.03.2016,1758,"1742,6","1797,9","1742,5","0,09K","0,88%"
24.03.2016,"1742,6",1780,1801,"1704,2","0,14K","-2,10%"
23.03.2016,1780,"1677,2",1820,"1645,2","0,28K","6,12%"
22.03.2016,"1677,3","1640,6",1680,1638,"0,17K","2,24%"
21.03.2016,"1640,6","1673,6","1679,8",1616,"0,15K","-1,97%"
20.03.2016,"1673,6",1680,1680,"1614,7","0,03K","-0,38%"
19.03.2016,1680,1699,1699,1601,"0,08K","-1,12%"
18.03.2016,1699,1715,"1737,7","1671,7","0,12K","-0,93%"
17.03.2016,1715,"1715,9",1740,1707,"0,07K","-0,05%"
16.03.2016,"1715,9",1734,1740,"1697,7","0,12K","-1,05%"
